split,image_id,file_name,source_split,source_file_name,source_group,sha256,positive,annotations,small_boxes,medium_boxes,large_boxes
train,11,aircraft_surface_damage_crack_v2_0000011.jpg,train,1107219108_IMG_71212-jpg-7987f07b87d64ea21995d43aeac48a90_jpg.rf.82cdae9fcabde56d98bdfeec1d9f11ca.jpg,1107219108_img_71212-jpg-7987f07b87d64ea21995d43aeac48a90,a6bb408e0b1fd02d8592def2fb8fa18ee5cec04c76e81f4b89d94640621f3cb0,0,0,0,0,0
train,12,aircraft_surface_damage_crack_v2_0000012.jpg,train,1107219108_IMG_71212-jpg-7987f07b87d64ea21995d43aeac48a90_jpg.rf.c227a031887d55e4d67eaa14377e4a4c.jpg,1107219108_img_71212-jpg-7987f07b87d64ea21995d43aeac48a90,cbad106de5def1f82c915048dd96463f05a6ee3b1d89a0d2b240a4711e6d6605,0,0,0,0,0
train,13,aircraft_surface_damage_crack_v2_0000013.jpg,train,122D07D6-FEEB-4CE7-A888-0DECD2937642-jpeg-b010b33804822b65aeb7256bb33f66ca_jpeg_jpg.rf.6e2acfa21b58b886b897ec3f35c92b42.jpg,122d07d6-feeb-4ce7-a888-0decd2937642-jpeg-b010b33804822b65aeb7256bb33f66ca_jpeg,1c5992302c9a33da14342a9741017fd4d682f1877f62cbb3b7734af7263205f2,1,1,1,0,0
train,14,aircraft_surface_damage_crack_v2_0000014.jpg,train,122D07D6-FEEB-4CE7-A888-0DECD2937642-jpeg-b010b33804822b65aeb7256bb33f66ca_jpeg_jpg.rf.cb8cf7985a255cdc7df5dbcf0c022034.jpg,122d07d6-feeb-4ce7-a888-0decd2937642-jpeg-b010b33804822b65aeb7256bb33f66ca_jpeg,7194e6239489fefe0050714a18eb87e92331436135ee7358a8128befea818e07,1,1,0,1,0
train,15,aircraft_surface_damage_crack_v2_0000015.jpg,train,122D07D6-FEEB-4CE7-A888-0DECD2937642-jpeg-b010b33804822b65aeb7256bb33f66ca_jpeg_jpg.rf.d28cfd299461e479b7f788e31c67ffab.jpg,122d07d6-feeb-4ce7-a888-0decd2937642-jpeg-b010b33804822b65aeb7256bb33f66ca_jpeg,fbc3d535f1ec446d3be073a20c35ffed1fe85da0a09a0624e9a8fcc3737fb4f1,1,1,0,1,0
train,16,aircraft_surface_damage_crack_v2_0000016.jpg,train,171028-oklahoma-city-thunder-plane-chicago-ew-219p_jpg.rf.392d12a07755705b34fcad9875847db6.jpg,171028-oklahoma-city-thunder-plane-chicago-ew-219p,f2c139cf032dadcc8c18a2ac6f0faf1308d289ca894cbb635b72574058d9277b,0,0,0,0,0
train,17,aircraft_surface_damage_crack_v2_0000017.jpg,train,171028-oklahoma-city-thunder-plane-chicago-ew-219p_jpg.rf.73fe1e4ad047ff4b981883d3cfa23fea.jpg,171028-oklahoma-city-thunder-plane-chicago-ew-219p,58f56edd523ab020a4b0b3522feef844f74b905f353eee7ae3e23ee1385033b7,0,0,0,0,0
train,18,aircraft_surface_damage_crack_v2_0000018.jpg,train,171028-oklahoma-city-thunder-plane-chicago-ew-219p_jpg.rf.a4aec6a7c31893282df027059c09a991.jpg,171028-oklahoma-city-thunder-plane-chicago-ew-219p,a48d233cb0057d69912d0eb1727045fe41811b4906996b3141d475ba9c832474,0,0,0,0,0
train,19,aircraft_surface_damage_crack_v2_0000019.jpg,train,20130814_083541_jpg.rf.03bb068a3b8b54f5f16f80acec22c54e.jpg,20130814_083541,b5a3e3cb10e2fbf6d3f081948ebbe9491ed8943ab9bbe3b90df33a2d80071a52,1,1,0,1,0
train,20,aircraft_surface_damage_crack_v2_0000020.jpg,train,20130814_083541_jpg.rf.ac26147294a9ce59f4f8464316979407.jpg,20130814_083541,eb5fea260ba83298b5aa4c78d25e699ec4e4c4f726c608456057441bfc83f12f,1,1,0,1,0
train,21,aircraft_surface_damage_crack_v2_0000021.jpg,train,20130814_083541_jpg.rf.be31919a607c4552cb229025c63f3a0a.jpg,20130814_083541,4ce72984fdea4b1776bfe5068747d104921fc3e600afd02d4af7191dbea1d378,1,1,0,1,0
train,22,aircraft_surface_damage_crack_v2_0000022.jpg,train,20140704_180951-1-1-_jpg.rf.2f880016f50e4a89923486a79ee8dcea.jpg,20140704_180951-1-1-,2678f16b3a4f3142f0702dc4590e3c49455ec9270ac77a0aae5ac67c6e72ba72,1,1,0,0,1
train,23,aircraft_surface_damage_crack_v2_0000023.jpg,train,20140704_180951-1-1-_jpg.rf.4a0363019e78b689de7a179ff33e97c3.jpg,20140704_180951-1-1-,9b8aab991532a99a75125c47109630279bf0e74e8ab61dcab45894cece2a1f0c,1,1,0,0,1
train,24,aircraft_surface_damage_crack_v2_0000024.jpg,train,20140704_180951-1-1-_jpg.rf.71c8223477337946d03da3ab046f332f.jpg,20140704_180951-1-1-,872d58cdd966101cc9d51368e45933077dda4803ed230dcf5e24abb6b10357fc,1,1,0,0,1
train,25,aircraft_surface_damage_crack_v2_0000025.jpg,train,20141120_163401_jpg.rf.05b95b64d6eb5dc22bdf0aaa142836f4.jpg,20141120_163401,8979471013380e8d59dd6c632c1e5a4a6dc732e239965c3f2d52ede03be8a821,1,1,0,0,1
train,26,aircraft_surface_damage_crack_v2_0000026.jpg,train,20141120_163401_jpg.rf.425c2ee8152da87fd5d80927be2c30df.jpg,20141120_163401,a3939264c7d4bc7da404d8b8b80bebcb681be9fa6b9fab918167b83cb121e127,1,1,0,0,1
train,27,aircraft_surface_damage_crack_v2_0000027.jpg,train,20141120_163401_jpg.rf.e67e86698970bd68cd05a9654ccb3376.jpg,20141120_163401,12249e3da51697291817e48d9e4587f9867e4dc5b6c76efe61428c75a3be5377,1,1,0,0,1
train,28,aircraft_surface_damage_crack_v2_0000028.jpg,train,20150806_110419_jpg.rf.406d335b4acfc2d0af2170dc41126a6c.jpg,20150806_110419,0714848df4b46283820dad09d67ecd246fdeacf4081fc673daa199e1f98ec7c8,1,1,0,1,0
train,29,aircraft_surface_damage_crack_v2_0000029.jpg,train,20150806_110419_jpg.rf.676040ff5fcedb5a8b82ce4f6100519d.jpg,20150806_110419,a862ed6a56488aae85a22259fadbfb4ab0d0af72595674f6fb5d15998b6433ed,1,1,0,1,0
train,30,aircraft_surface_damage_crack_v2_0000030.jpg,train,20150806_110419_jpg.rf.960496f15f8ad9768ea0a396fca89299.jpg,20150806_110419,bf46fa19a8340441151ac831f0e02ca6d6e47164e22a71c2510c686bf68e78da,1,1,0,1,0
train,31,aircraft_surface_damage_crack_v2_0000031.jpg,train,20150806_110425_jpg.rf.026ca1d9b97e80b214f4302e7ef77ac2.jpg,20150806_110425,dc99bdbfa54be0e7f4aa60b170e910ba6c83c0b72414502fd5f4f8992a105585,1,1,0,1,0
train,32,aircraft_surface_damage_crack_v2_0000032.jpg,train,20150806_110425_jpg.rf.7fd20d56ac0bd7501e2000de7ea7d916.jpg,20150806_110425,93d7d6954445fe149968504a2d8d480c4313f7f864713dc9d30a33170fe4dce9,1,1,0,1,0
train,33,aircraft_surface_damage_crack_v2_0000033.jpg,train,20150806_110425_jpg.rf.aa845d55714733765de846758a0fb8db.jpg,20150806_110425,720cce723764cd1b3763799570410a6932b6ef959f408631aced22d3b66fe4ce,1,1,1,0,0
train,34,aircraft_surface_damage_crack_v2_0000034.jpg,train,20171031-081823-npslm_jpg.rf.2d158107a8978bcf89a83a20e21c2186.jpg,20171031-081823-npslm,0a055ffff681189c116fe00f5c2c4344acf27c1cb0d4d5f3c265d27bcc6f33db,0,0,0,0,0
train,35,aircraft_surface_damage_crack_v2_0000035.jpg,train,20171031-081823-npslm_jpg.rf.56bc8f621b7913dc79b1588048c05f7a.jpg,20171031-081823-npslm,7208289cd79666f0a79418469965b9c36ac44949956b413d5900be781d23be63,0,0,0,0,0
train,36,aircraft_surface_damage_crack_v2_0000036.jpg,train,20171031-081823-npslm_jpg.rf.e4599c20cd4da768fa91267810606fc2.jpg,20171031-081823-npslm,93f8803074db5566d183826b663d43095665f5ac41d3aa55bef68190b28c52d7,0,0,0,0,0
train,37,aircraft_surface_damage_crack_v2_0000037.jpg,train,20190113_132803_jpg.rf.780265dd2fa51d260f2d68bcf3e0f54b.jpg,20190113_132803,9b04257f8ebd575a5aaee7102c2f071b30acee2c1f0bc7874c8137c9af73f2e9,1,1,0,0,1
train,38,aircraft_surface_damage_crack_v2_0000038.jpg,train,20190113_132803_jpg.rf.9088d88e652c12541cd1011e5ed3079d.jpg,20190113_132803,8948f2dd86d45990e6f2fc7e7e210cbd162d4a3c8553262177fbc4f78a4bfa7d,1,1,0,0,1
train,39,aircraft_surface_damage_crack_v2_0000039.jpg,train,20190113_132803_jpg.rf.f986892bd5a4ce2c8af9cb73db97e797.jpg,20190113_132803,2b7759bbfd5fb4c72ca49869fe8d976bcc7f3f534cc4a5cb8a85cba6be58d3db,1,1,0,0,1
train,40,aircraft_surface_damage_crack_v2_0000040.jpg,train,20220424_140515_001_jpg.rf.2d99f5bcee467d02fc36c8032eee6be9.jpg,20220424_140515_001,7191c00973303bcb9580249103421df3cdccaafc3082b9026b9c1b4371a05be7,0,0,0,0,0
train,41,aircraft_surface_damage_crack_v2_0000041.jpg,train,20220424_140515_001_jpg.rf.7bd31afd5d8e1e9912a04717e3968b0a.jpg,20220424_140515_001,fc71a6fe7e4cd2097bc1954caf84a602eed0f53eb631acf38ee7038a78bf97cf,0,0,0,0,0
train,42,aircraft_surface_damage_crack_v2_0000042.jpg,train,20220424_140515_001_jpg.rf.a1c5a961fc2a79556bd4f38aa8612b0b.jpg,20220424_140515_001,56a40458833a7cd3d997167c88d86d6725a33a0d624f3031abbefc060ad54cae,0,0,0,0,0
train,43,aircraft_surface_damage_crack_v2_0000043.jpg,train,20220424_140515_002_jpg.rf.00ccb3d399b65fa6852f22a1162db874.jpg,20220424_140515_002,8d83250f68dd12077d11a7c99a83423c15ad147f18a8927847da59a8dac8a9db,0,0,0,0,0
train,44,aircraft_surface_damage_crack_v2_0000044.jpg,train,20220424_140515_002_jpg.rf.ddc2eba5683ec1d6f029488c527c9149.jpg,20220424_140515_002,0936f39cd827837d1feed35b818ec5d2a40f1ccfc28c5ddb5d5c25883289a43b,0,0,0,0,0
train,45,aircraft_surface_damage_crack_v2_0000045.jpg,train,20220424_140515_002_jpg.rf.e2f578ce89b8cdb43f46082c544c6aa9.jpg,20220424_140515_002,afab51efacfe63445bafa409734bc6d023256954332746ab118139a405a77bc6,0,0,0,0,0
train,46,aircraft_surface_damage_crack_v2_0000046.jpg,train,20220424_140515_003_jpg.rf.47456f468ffd5b068fd7e72f067daa0c.jpg,20220424_140515_003,694f38d3d51f0d963457d1c0ebe39a0586bb3547b939e00cb1ec338957ce4ca7,0,0,0,0,0
train,47,aircraft_surface_damage_crack_v2_0000047.jpg,train,20220424_140515_003_jpg.rf.6387d3aef02d4b54281225d58d122a6d.jpg,20220424_140515_003,7e68bf2c780b1b7233eeb9132889874ceb3b8b0343755300222edeae686e1334,0,0,0,0,0
train,48,aircraft_surface_damage_crack_v2_0000048.jpg,train,20220424_140515_003_jpg.rf.8e495ab5758695311475dd6cfe49cedc.jpg,20220424_140515_003,dd42fd937ca7cf87df1f14b6ae1f79865a8a16cc401f2ab58f3b9ac575fc1a98,0,0,0,0,0
train,49,aircraft_surface_damage_crack_v2_0000049.jpg,train,20220424_140515_004_jpg.rf.2b84c1b8cf98a0bf83c06013b54873a7.jpg,20220424_140515_004,3ebdc3cf1284f25b99d6c03ffbff063b715123afebf16a664b0c525622fc659c,0,0,0,0,0
train,50,aircraft_surface_damage_crack_v2_0000050.jpg,train,20220424_140515_004_jpg.rf.bf4212039c1fe93548aacd5bd6341cd1.jpg,20220424_140515_004,0496bc70877bf3b9e18c6e96499812227f97adb9ff40253dbcab4ac957028c59,0,0,0,0,0
train,51,aircraft_surface_damage_crack_v2_0000051.jpg,train,20220424_140515_004_jpg.rf.d499ab1fc9fe4b70e6c8e780ebee3a93.jpg,20220424_140515_004,b986eb6f0f7c128696634028a9d2c95cb1c157014976f6e281011344366c37c8,0,0,0,0,0
train,52,aircraft_surface_damage_crack_v2_0000052.jpg,train,20220424_140515_005_jpg.rf.4e1879cc3ccebf5183fd287d5b89132f.jpg,20220424_140515_005,0103a3d744800fa6cdf16a99ebfa369e92a14047738dcf503091ecab4160b015,0,0,0,0,0
train,53,aircraft_surface_damage_crack_v2_0000053.jpg,train,20220424_140515_005_jpg.rf.ebc9d74e72e225cf711be3697cd9986d.jpg,20220424_140515_005,8d92d4fac35cc5489dded3692f3c0c7e7bcafb2d368220407dcb2f00acc9930b,0,0,0,0,0
train,54,aircraft_surface_damage_crack_v2_0000054.jpg,train,20220424_140515_005_jpg.rf.f7578ab2e25778a3a334c309cc8dd694.jpg,20220424_140515_005,12633fd1b6068148ae3f9267a7d884556fbeecda5120832ca0970f4a0ecd8e53,0,0,0,0,0
train,55,aircraft_surface_damage_crack_v2_0000055.jpg,train,20220424_140515_006_jpg.rf.0f4fb093d2bc088641834a1db2410b53.jpg,20220424_140515_006,c5324d15b64bc189aafcacb7299d5991fa87f3f14c1bab4e6931bd618c7eb890,0,0,0,0,0
train,56,aircraft_surface_damage_crack_v2_0000056.jpg,train,20220424_140515_006_jpg.rf.a551dfe9aebe2bf9aa33823a72f4720c.jpg,20220424_140515_006,f54710791f653d1ccdbb802855b38d6b839d2e954a6b7136ae3040fd2eab0d3f,0,0,0,0,0
train,57,aircraft_surface_damage_crack_v2_0000057.jpg,train,20220424_140515_006_jpg.rf.af075d3dd9bfdf5c33b777a161bf4b94.jpg,20220424_140515_006,86f7d24d5401f15f1a0b9ad86a4ed706f0b9096f00fb519461beaccde71d741f,0,0,0,0,0
train,58,aircraft_surface_damage_crack_v2_0000058.jpg,train,20220424_140515_007_jpg.rf.8500f8ea6deff95ce729057101a6d44f.jpg,20220424_140515_007,1e1f36803c59c29ecc8a75227eec483c9305253e9aa07dbc395fba4a2fcc1b10,0,0,0,0,0
train,59,aircraft_surface_damage_crack_v2_0000059.jpg,train,20220424_140515_007_jpg.rf.aaae8cd2dea0433165ff181aae1a27e5.jpg,20220424_140515_007,7e4eaf39e7781ce6ee2672f682de4dee64329e66e80ea9f091e7b05a423e22ed,0,0,0,0,0
train,60,aircraft_surface_damage_crack_v2_0000060.jpg,train,20220424_140515_007_jpg.rf.f35b3d83b591c8e4b6a79a4447fbd7c7.jpg,20220424_140515_007,2d69711ee0a0b869139fc1b34339c51bff6ef4c74b1aee76d958503c4d67af6c,0,0,0,0,0
train,61,aircraft_surface_damage_crack_v2_0000061.jpg,train,20220424_140515_008_jpg.rf.3238b87bd37b29e27e91b70080d467c1.jpg,20220424_140515_008,aa4b185456ad037865ad10cddfa9849c1520399fc792cb08f50cbc44b40a33db,0,0,0,0,0
train,62,aircraft_surface_damage_crack_v2_0000062.jpg,train,20220424_140515_008_jpg.rf.3ef1044bb27b6358bdeac1ae5fdcb9ec.jpg,20220424_140515_008,24ec6ec051935bd266313ebc47bc977e9167794454719113dff24cb1d00be8f7,0,0,0,0,0
train,63,aircraft_surface_damage_crack_v2_0000063.jpg,train,20220424_140515_008_jpg.rf.b1132d1f6c395899aa851cd27e6aa576.jpg,20220424_140515_008,ae597d5e7cd44e3620489c380b46979049635a3a19e61e91b9834259751e112b,0,0,0,0,0
train,64,aircraft_surface_damage_crack_v2_0000064.jpg,train,20220424_140515_009_jpg.rf.a08413686aabf99c3eaea6bd25f9e7c3.jpg,20220424_140515_009,b194e3a77e578bad5178eef6f99f12ea202631f0cb300aa59ea0fed61fe43258,0,0,0,0,0
train,65,aircraft_surface_damage_crack_v2_0000065.jpg,train,20220424_140515_009_jpg.rf.ae181577c321cfeda8a683ce72151de5.jpg,20220424_140515_009,ac5367a17c076a31ad79db20c3f1ff3fc6f9ef20ab2bb5e5ed7a9fbee3e5bdf7,0,0,0,0,0
train,66,aircraft_surface_damage_crack_v2_0000066.jpg,train,20220424_140515_009_jpg.rf.f41884f3a6b01a2de3d5c09b94508e3a.jpg,20220424_140515_009,b0c44c21548943e6ffe2f0e408257b29f8aeb23c4b3474819736b3ce82d22d08,0,0,0,0,0
train,67,aircraft_surface_damage_crack_v2_0000067.jpg,train,20220424_140515_010_jpg.rf.4df41069119cc70c73ec5749a4ad3ec2.jpg,20220424_140515_010,e961afd0cff79a46df8b87eeba8d91be9a94fd8c161f07178109a4065224d27b,0,0,0,0,0
train,68,aircraft_surface_damage_crack_v2_0000068.jpg,train,20220424_140515_010_jpg.rf.66fad850ce2ae33badde36ef8af7b780.jpg,20220424_140515_010,85541b1074f1e87c0c10f88c3908b2d9b0ae9893f204015908492baf3d15775a,0,0,0,0,0
train,69,aircraft_surface_damage_crack_v2_0000069.jpg,train,20220424_140515_010_jpg.rf.a85302caf464ccb018c198aad0a297a1.jpg,20220424_140515_010,c879bc429876ae95c990bc97f5571a1bb5744775f0de93bc3cf03147ff44f184,0,0,0,0,0
train,70,aircraft_surface_damage_crack_v2_0000070.jpg,train,20220424_140515_011_jpg.rf.228a0011277c619f109a05b72b5829f8.jpg,20220424_140515_011,a1a776072d1af26d77b635309fc754da82d5215ae9a3e2d0f13f5c2d35e585c4,0,0,0,0,0
train,71,aircraft_surface_damage_crack_v2_0000071.jpg,train,20220424_140515_011_jpg.rf.249f3a1e048a2a852feaced8e52c4bb9.jpg,20220424_140515_011,32a69979d2992145699761449a8da680696b325f22151778c5d2872042aaec8b,0,0,0,0,0
train,72,aircraft_surface_damage_crack_v2_0000072.jpg,train,20220424_140515_011_jpg.rf.f500b7b9d2518e671a79e61735282b91.jpg,20220424_140515_011,53586a65ca92398745a7782c2c252c58dfd25f150968498fce0f24251d7e61df,0,0,0,0,0
train,73,aircraft_surface_damage_crack_v2_0000073.jpg,train,20220424_140515_012_jpg.rf.7f746630f3b453551121b205c6733168.jpg,20220424_140515_012,a418c51412a789d31e8ba80eaa67bd38553e2574f2fea0abaa52139ff5f67318,0,0,0,0,0
train,74,aircraft_surface_damage_crack_v2_0000074.jpg,train,20220424_140515_012_jpg.rf.d2f8dff0b70d07db02adc49f90adc891.jpg,20220424_140515_012,ff3d711209e9febe7116102c1c7e6385f460444899964c2c65102fe5ca232beb,0,0,0,0,0
train,75,aircraft_surface_damage_crack_v2_0000075.jpg,train,20220424_140515_012_jpg.rf.f4e819efcd1261c734811daf09e1c873.jpg,20220424_140515_012,c5bdfe697b8515e84be58e68e8bde8c22d18049b8c6f7a65f9f3fc0987c97e65,0,0,0,0,0
train,76,aircraft_surface_damage_crack_v2_0000076.jpg,train,20220424_140515_013_jpg.rf.473dafe173d961d049b42c24be4a94a2.jpg,20220424_140515_013,90bce0bfc9729cb53da6eb23a532afb4a6d0aa97dce1cb87bb91d8766f9610eb,0,0,0,0,0
train,77,aircraft_surface_damage_crack_v2_0000077.jpg,train,20220424_140515_013_jpg.rf.8ed9172513f504cc6112c837f6a7135a.jpg,20220424_140515_013,6ed2422347702ea85d72ffff6a6a95a9695beab3b6fbae540bfdf43b4d3d0a66,0,0,0,0,0
train,78,aircraft_surface_damage_crack_v2_0000078.jpg,train,20220424_140515_013_jpg.rf.d06c1af8c039b468f508be974d6d1521.jpg,20220424_140515_013,e511fef4983ecd9b56443a3419f5bba4c8588cec62e433c183133635b4215b18,0,0,0,0,0
train,79,aircraft_surface_damage_crack_v2_0000079.jpg,train,20220424_140515_015_jpg.rf.02f630a43f0f443630b92b01b833d325.jpg,20220424_140515_015,ecdc95171de766af8f7c6400ecd9f17176cd9a6e139331e7a997fcf684bea7a4,0,0,0,0,0
train,80,aircraft_surface_damage_crack_v2_0000080.jpg,train,20220424_140515_015_jpg.rf.8eb66b51e14c7b2d99ae1396573b33d0.jpg,20220424_140515_015,27f70c5f946159bf3c0a0b5f6438101ec5400f9a079c9990199f8069bfeacc77,0,0,0,0,0
train,81,aircraft_surface_damage_crack_v2_0000081.jpg,train,20220424_140515_015_jpg.rf.be4d14cea3a679e75d194e3a7be8348b.jpg,20220424_140515_015,6ce105e2628f07916d1211b57c0e69231eddab9429c3561efee43a0dc09e5d5b,0,0,0,0,0
train,82,aircraft_surface_damage_crack_v2_0000082.jpg,train,20220424_140515_016_jpg.rf.2128d03f6c71a9ba18fa51660f17db8f.jpg,20220424_140515_016,2d90625d9d71fdd1a2772a432f526f3295b6c7ead4da9204cf78608a16d02413,0,0,0,0,0
train,83,aircraft_surface_damage_crack_v2_0000083.jpg,train,20220424_140515_016_jpg.rf.3eacbe2882a6a9176b27882a4755b415.jpg,20220424_140515_016,dc6b67d4e93e31f8d00228980431a935bab0ca02dfc5e0e4cd634dfe796b457c,0,0,0,0,0
train,84,aircraft_surface_damage_crack_v2_0000084.jpg,train,20220424_140515_016_jpg.rf.9cb799859829295255ddc5d41b8d6c2d.jpg,20220424_140515_016,e27df24b2c8d4043f92a68da920d52814a9fa7c57ada1fbd4e07881b40f16632,0,0,0,0,0
train,85,aircraft_surface_damage_crack_v2_0000085.jpg,train,20220424_140515_017_jpg.rf.7e80b0fc75861b610759dbda41bf7351.jpg,20220424_140515_017,ce519eac27f9014deb3852894f3f170a011ed7cfc4da478e92cb850b10b2785f,0,0,0,0,0
train,86,aircraft_surface_damage_crack_v2_0000086.jpg,train,20220424_140515_017_jpg.rf.b292f3918fd1a980cf7f4dc707dc7f87.jpg,20220424_140515_017,a2b93843b59379765a5776516f7dbf0258077bed47a32f815bca01b444b31da8,0,0,0,0,0
train,87,aircraft_surface_damage_crack_v2_0000087.jpg,train,20220424_140515_017_jpg.rf.c70476f853dd6f528906895e18c2a654.jpg,20220424_140515_017,c73ce3f727505b09ef3b61d3fe841822e0f90f1ba9616e0290e7d514d00d19f8,0,0,0,0,0
train,88,aircraft_surface_damage_crack_v2_0000088.jpg,train,20220424_140515_018_jpg.rf.0462842d42192032e2f291805d7544ea.jpg,20220424_140515_018,81e8dc7801a5a0b7bbd0272b4e715d7c619c2581c59afd0c1cbb5cbf72206f5a,0,0,0,0,0
train,89,aircraft_surface_damage_crack_v2_0000089.jpg,train,20220424_140515_018_jpg.rf.55d07d83ae8ae033cd223821ed4db3f8.jpg,20220424_140515_018,ad111d429620e991952a5dfd50fcddfe23335251f17a87db2dc3ade9c7b8b7ca,0,0,0,0,0
train,90,aircraft_surface_damage_crack_v2_0000090.jpg,train,20220424_140515_018_jpg.rf.c08f8b939b9068bd400b10e61dcfdba0.jpg,20220424_140515_018,d4ac4091671cd150d5c265edb19363f2660edd4e753f1d3550dd097f4397281d,0,0,0,0,0
train,91,aircraft_surface_damage_crack_v2_0000091.jpg,train,20220424_140515_019_jpg.rf.2ddaa38fff2994fc38145d49dbfdd4ce.jpg,20220424_140515_019,6579c81153e3781924ae01ada100c15955502ab9c407d9f6be3f6613b790f3b4,0,0,0,0,0
train,92,aircraft_surface_damage_crack_v2_0000092.jpg,train,20220424_140515_019_jpg.rf.37618e4935c1aebce4159144de89a63b.jpg,20220424_140515_019,a7890ea91e13227529d53a9fd61ce54d3a592d904b301a590c03e63d6e842158,0,0,0,0,0
train,93,aircraft_surface_damage_crack_v2_0000093.jpg,train,20220424_140515_019_jpg.rf.f7d9aa6a4457f70394c266f2977fc9f7.jpg,20220424_140515_019,453f03847232e5f5ec82c6144cbb0ed585ee49aa9db7112cba021e1c5f127753,0,0,0,0,0
train,94,aircraft_surface_damage_crack_v2_0000094.jpg,train,20220424_140515_020_jpg.rf.1378fadfc9d0c1416593e84ecd6c87fb.jpg,20220424_140515_020,0e6a6e636364b8de09dd08d97b96600124699ccebae47c8149b40ef50200f1a7,0,0,0,0,0
train,95,aircraft_surface_damage_crack_v2_0000095.jpg,train,20220424_140515_020_jpg.rf.457aafb233705b424c093d8e2dcda02d.jpg,20220424_140515_020,0e46555a09720b047fea1bc8bbda668c829309395e6210a0be6c45a7e0b7b512,0,0,0,0,0
train,96,aircraft_surface_damage_crack_v2_0000096.jpg,train,20220424_140515_020_jpg.rf.e05520d4d6c1cba3166671d217df66f3.jpg,20220424_140515_020,6a5503adc9d36b71d61ba9ff2e34d01cd592ec1eb0af7e91c6fe7ebac8c61622,0,0,0,0,0
train,97,aircraft_surface_damage_crack_v2_0000097.jpg,train,20220424_140515_021_jpg.rf.57c1bca0699f9103e1c45fe27461bfd2.jpg,20220424_140515_021,1a57c3045f98bfe82084d633c02b8ace72aaf41b3a4c73c042b5dbd834da73b0,0,0,0,0,0
